['Error: 401 Client Error: Unauthorized for url: https://query1.finance.yahoo.com/v10/finance/quoteSummary/MSFT?modules=financialData']
         148084 function calls (143430 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      261    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      172    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       53    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      291    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      140    0.000    0.000    0.001    0.000 _compiler.py:570(isstring)
       34    0.000    0.000    0.001    0.000 ipaddress.py:1651(_ip_int_from_string)
    75/62    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
       55    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
      187    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      210    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      129    0.000    0.000    0.001    0.000 typing.py:1252(__eq__)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       34    0.000    0.000    0.003    0.000 ipaddress.py:2238(__init__)
      128    0.000    0.000    0.001    0.000 typing.py:1565(__eq__)
    83/77    0.000    0.000    0.012    0.000 typing.py:392(inner)
       50    0.000    0.000    0.002    0.000 ipaddress.py:1920(__init__)
    58/33    0.000    0.000    0.213    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.001    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.001    0.000 ssl.py:125(<lambda>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      209    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
       70    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      170    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       52    0.000    0.000    0.001    0.000 typing.py:885(__init__)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      186    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      190    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       26    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      163    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       68    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       87    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      123    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       13    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
    60/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      196    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       48    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
       21    0.000    0.000    0.002    0.000 ipaddress.py:1502(__init__)
       88    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      141    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      157    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       87    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
        6    0.000    0.000    0.006    0.001 typing.py:2780(__new__)
       47    0.000    0.000    0.002    0.000 functools.py:518(decorating_function)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       72    0.000    0.000    0.212    0.003 __init__.py:226(compile)
      132    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       19    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
       68    0.000    0.000    0.001    0.000 status_codes.py:116(doc)
       70    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        3    0.000    0.000    0.037    0.012 utils.py:1(<module>)
      139    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      137    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       69    0.000    0.000    0.001    0.000 status_codes.py:122(<genexpr>)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
    44/25    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      133    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
       70    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       40    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       31    0.000    0.000    0.002    0.000 ipaddress.py:1286(__init__)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
    60/35    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
      129    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       88    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 constant.py:1(<module>)
      120    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      123    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       18    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      110    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       37    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
      106    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
