('Total Revenue', '281,724,000,000', '245,122,000,000', '211,915,000,000', '198,270,000,000')
         801417 function calls (769620 primitive calls) in 18.461 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.001    0.000    0.006    0.000 managers.py:317(apply)
       89    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      196    0.001    0.000    0.001    0.000 generic.py:586(_get_axis)
       68    0.001    0.000    0.001    0.000 enum.py:1008(_find_data_type_)
      190    0.001    0.000    0.006    0.000 css_types.py:303(__init__)
      156    0.001    0.000    0.002    0.000 typing.py:961(_is_unpacked_typevartuple)
       98    0.001    0.000    0.003    0.000 common.py:1165(is_float_dtype)
       70    0.001    0.000    0.003    0.000 css_parser.py:520(parse_tag_pattern)
      152    0.001    0.000    0.002    0.000 common.py:1385(_is_dtype)
        1    0.001    0.001    0.024    0.024 frame.py:509(DataFrame)
        3    0.001    0.000    0.001    0.000 expr.py:281(disallowed)
       35    0.001    0.000    0.005    0.000 typing.py:1047(_generic_class_getitem)
      235    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      465    0.001    0.000    0.001    0.000 css_types.py:69(__hash__)
      453    0.001    0.000    0.001    0.000 _compiler.py:428(_get_iscased)
      100    0.001    0.000    0.001    0.000 datetimes.py:306(_simple_new)
       89    0.001    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
       58    0.001    0.000    0.010    0.000 typing.py:1449(__getitem__)
      101    0.001    0.000    0.005    0.000 <frozen abc>:110(register)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      117    0.001    0.000    0.014    0.000 construction.py:481(ensure_wrapped_if_datetimelike)
      142    0.001    0.000    0.001    0.000 __init__.py:255(escape)
      176    0.001    0.000    0.003    0.000 inspect.py:2781(replace)
        1    0.001    0.001    0.019    0.019 generic.py:244(NDFrame)
      100    0.001    0.000    0.004    0.000 generic.py:807(_set_axis)
      265    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
       30    0.001    0.000    0.001    0.000 _inspect.py:141(formatargspec)
       64    0.001    0.000    0.004    0.000 common.py:43(_unpack_zerodim_and_defer)
        1    0.001    0.001    0.018    0.018 peewee.py:1(<module>)
       95    0.001    0.000    0.001    0.000 numerictypes.py:475(issubdtype)
       78    0.001    0.000    0.004    0.000 query.py:13(__init__)
